Source,Target
346364,406997
155,69735
395841,406990
80274,489927
274857,420426
162,451
979,168259
676,857
259316,290595
38,705
1378,418827
568,296524
947,468362
396371,454652
136835,242582
601,644
424,374720
345887,395834
58595,385448
64682,369972
1826,361292
375262,457136
101,156022
70160,281338
399404,454652
401246,417261
272,263115
37799,97690
10651,392044
1443,426613
318846,451915
369972,487558
16119,150689
405774,428078
278,9291
425,205587
949,396461
840,10200
150540,260513
675,58595
424,640
405774,443463
155,272
11816,462919
524,424694
8966,476292
315635,437586
15301,530154
13,11778
107079,447332
372058,507569
7873,11778
391713,449176
85350,437586
38842,500475
568,363676
1452,283366
693,1443
380,302946
2044,9339
58820,273248
39254,157336
597,7191
489,19913
2320,363676
339380,487558
399248,468362
9331,438808
155,49521
13697,72105
508,419680
52520,346672
281957,467938
314095,433498
52559,62764
6535,45269
15121,462919
339103,398181
7090,458737
429203,438808
112160,308369
223,44214
80278,130343
35,11130
109410,312221
9598,335797
652,57165
40772,474354
329865,384521
1422,395834
867,346685
152532,369192
77877,392044
350,449176
73,38234
405774,445651
49444,346672
369192,481117
10285,398173
41233,458423
454,462919
388,5925
87101,365942
828,16866
8619,25147
497,392044
787,6977
2454,171274
340613,398181
4771,154400
334543,454652
9672,120467
296096,476292
72190,262500
602,2675
384680,395834
62764,254723
74997,345920
157851,249397
5143,489931
281957,453201
240832,438808
49530,293863
7859,489931
510,440161
64690,341006
39254,262543
1788,44214
334,9339
157336,395992
296096,466282
45269,65035
465642,554600
3035,433249
375262,376867
13,426426
7191,68718
223,396461
1402,451915
615,147441
510,109491
389015,399404
340027,454652
443463,518452
588,458594
316029,460071
2048,406990
12405,207901
429197,487558
2048,401905
424,454652
76726,112160
28740,554600
62764,323660
37958,53182
44826,443463
9880,472734
8456,244786
429203,520360
562,201088
38,521
78,2666
424,429197
258480,375262
262500,401905
345920,392044
369885,505954
497,2454
387,369885
630,8587
9366,168672
299534,487670
2454,34584
61791,119450
19,39254
44912,470894
89,228150
2168,474354
4349,554600
550,180863
4133,438808
1632,147441
47964,137094
350,65754
392044,455207
670,467938
1555,455980
418827,500475
336804,446101
33814,569547
45317,109410
629,15794
72105,77338
297762,315635
507,429203
371638,460071
281338,294254
449176,455207
224141,290595
111,1374
265208,446021
9813,216015
857,16869
348,49047
205587,260346
152532,401469
281957,369972
10559,157336
339103,500919
32657,407436
11423,500919
133805,413362
61791,76341
336843,392044
767,18239
272,98566
376660,419478
315635,429617
4951,40264
70,9443
266856,460071
13223,245891
8090,395841
15070,273481
19124,446021
278927,281338
207,1265
137,11976
2320,400535
4951,511785
155,263115
399404,467952
240,238636
10140,34584
262500,407436
238,11092
9880,341174
1073,554600
339967,458737
590,489999
110415,405774
11130,50546
399404,448776
11770,307081
407451,489927
10637,312221
278,15357
359940,407448
74997,400710
812,290595
272,1452
426338,474354
10428,315837
276907,339103
453,399404
84892,472451
8587,532183
106646,152532
846,1124
276,261470
10882,150689
858,3170
390062,433498
329865,346910
10402,414191
1164,400579
1949,446791
775,150540
38,11522
44115,273248
8966,340666
313369,342473
39907,80278
152601,500664
10651,64690
383526,472451
9985,120467
332562,373558
8966,11324
258480,376867
2108,511785
137,18045
10734,334543
75780,395841
131631,465136
387,16869
8456,376867
699,347984
76649,254128
1443,8272
388,399170
84892,407436
34584,64682
1585,5255
73,406997
640,10734
52371,398818
6477,332562
265208,460321
2309,340674
131631,453201
6977,504172
50014,147441
131631,401905
296096,443463
3035,9738
8077,329865
210479,311291
101299,220882
147441,487558
8587,10264
207,103663
6414,80278
429,440161
78,220882
369300,489931
321612,465136
162,10778
15584,311291
295011,415010
627,449459
10651,470229
3170,376867
8834,458594
278236,489927
396371,446354
411,407436
227156,440161
828,20424
122906,394117
9454,399055
399360,399402
296096,472734
362057,458594
281957,407436
489,15070
8046,154400
90,242582
948,412862
324786,389015
10651,400535
489,1262
381283,475210
1367,481117
6977,459910
840,11954
2675,3980
1816,8587
76203,339408
921,1374
84892,341174
339403,507419
218,64690
637,289222
4951,421471
51828,340674
210577,395841
1900,459910
85350,376660
169917,372343
782,6479
147441,381284
45269,53116
60670,500919
10009,77338
43923,296096
184352,205596
69735,450465
12689,443463
1493,315837
58595,159824
755,429203
2501,340613
23168,77338
1281,400617
605,346672
119450,131631
458594,483184
1927,3035
16665,449459
169917,171274
78,2034
9655,307081
1213,13697
424,318846
49397,537996
510,417678
568,75612
8619,11583
4535,80278
49017,76492
266856,454227
198663,465136
6479,9381
34584,400650
396371,448776
2502,346685
12689,296096
616,274857
262500,446807
9739,68724
429203,449443
9339,9963
640,381284
131634,220882
387,467952
8619,23928
2067,286217
14069,372058
278,1883
281957,429351
227156,429351
424694,481117
1585,51052
264660,424783
9833,313369
2454,472734
769,424694
268,283366
295011,346651
28178,290762
185,4836
497,400650
216015,336843
1124,5176
198663,466411
2275,406990
350,44826
311,464502
65754,315837
49529,429351
155,44912
769,64690
361292,526775
550,398181
857,11287
508,772
194662,293660
3035,9488
340613,426426
263115,500664
369972,381284
82693,466282
448776,451915
381284,467952
769,487558
152584,449176
8619,74405
634,122906
168259,359940
339692,381283
562,168259
8966,23168
82693,449176
392044,484247
84892,449176
101299,210577
77877,473149
828,840
185,112160
304410,447332
97,37799
1571,446791
404245,440472
167,295011
396371,454227
76203,407806
440161,443463
10388,446021
266856,454652
3035,287903
8966,433498
3035,10973
37797,489931
9945,18239
123023,486947
451915,454652
75780,169917
22679,53182
74,72190
464,9339
152532,448776
455207,470044
168672,324542
49017,50620
3469,8619
8966,82693
19913,293863
5925,399404
241554,395834
769,169917
11324,65754
497,70160
4639,120467
1771,505954
561,209112
152532,429203
1366,5723
2034,438808
359412,429203
74997,418827
72987,120467
4247,249397
29456,120467
3170,9902
398173,398181
273481,395834
13223,277216
13188,17979
290250,332562
37799,368031
449176,466411
457136,467952
9798,314365
411,8966
9741,299537
85350,315635
1585,9479
137113,503346
4133,504172
70,1366
241554,357096
273153,425972
691,347984
536176,551095
17436,249397
133805,207932
112160,376867
53932,112160
78215,474354
385360,395834
8966,334543
9905,449459
238,261023
11093,414191
744,745
424,289222
281957,500919
399404,443009
334543,339380
302946,395990
2275,553882
376867,449176
634,426426
70,1578
396371,399404
1538,302946
10882,41233
1371,9655
1645,396371
272,36647
467938,483184
10987,412862
76726,419478
550,769
433,122906
207932,281338
1366,398175
10651,345920
10651,500919
101,240
2048,68724
824,340674
273481,300665
787,1948
2048,152601
75656,401469
561,487670
38,11130
676,468362
324786,334543
137094,261023
59967,302946
4148,340613
64682,346685
454227,467952
637,505954
429351,465136
510,449176
9946,416477
35056,311291
18,329865
746,205596
1813,396461
238636,339692
45317,396371
13851,530154
929,124905
254128,479475
10139,152532
10651,241554
258696,335797
24428,315635
11130,16642
253,504172
334543,460071
100271,372058
1259,13697
387,637
8834,340613
262504,446807
15472,290595
59967,119450
296096,339984
228150,369885
14128,41233
17979,338964
270946,489929
524,168672
769,10734
16869,152760
